Time(min),Coverage(%),MSD(um2)
61.7996,0.157928,1
61.8996,0.158167,1
61.9996,0.158453,1
62.0996,0.158644,1
62.1996,0.15893,1
62.2996,0.159121,1
62.3996,0.159311,1
62.4996,0.159407,1
62.5996,0.159645,1
62.6996,0.159883,1
62.7996,0.16017,1
62.8996,0.160408,1
62.9996,0.160551,1
63.0996,0.160837,1
63.1996,0.161028,2017
63.2996,0.161362,1
63.3996,0.161648,2017
63.4996,0.161982,1
63.5996,0.16222,1
63.6996,0.162458,1
63.7996,0.162601,1
63.8996,0.162792,1
63.9996,0.163078,1
64.0996,0.163317,2017
64.1996,0.16346,1
64.2996,0.163555,1
64.3996,0.163746,2017
64.4996,0.163984,1
64.5996,0.16427,1
64.6996,0.164509,1
64.7996,0.164795,1
64.8996,0.16489,1
64.9996,0.164986,1
65.0996,0.165129,1
65.1996,0.165367,1
65.2996,0.165606,1
65.3996,0.165892,1
65.4996,0.166178,1
65.5996,0.166321,1
65.6996,0.166607,1
65.7996,0.166845,1
65.8996,0.167131,1
65.9996,0.167274,1
66.0996,0.167418,1
66.1996,0.167608,1
66.2996,0.167799,1
66.3996,0.16799,1
66.4996,0.168133,1
66.5996,0.168324,1
66.6996,0.16861,1
66.7996,0.168848,1
66.8996,0.169086,1
66.9995,0.169325,1
67.0995,0.169468,1
67.1995,0.169754,1
67.2995,0.169945,1
67.3995,0.17004,1
67.4995,0.170183,1
67.5995,0.170422,1
67.6995,0.17066,1
67.7995,0.170851,2017
67.8995,0.171041,1
67.9995,0.17128,1
68.0995,0.171518,1
68.1995,0.171661,1
68.2995,0.171852,1
68.3995,0.172138,1
68.4995,0.172424,1
68.5995,0.172758,1
68.6995,0.173044,1
68.7995,0.173283,1
68.8995,0.173569,2017
68.9995,0.173807,1
69.0995,0.173998,1
69.1995,0.174332,1
69.2995,0.17457,2017
69.3995,0.174856,1
69.4995,0.175238,2017
69.5995,0.175571,1
69.6995,0.175953,1
69.7995,0.176239,1
69.8995,0.176477,1
69.9995,0.176716,1
70.0995,0.177002,2017
70.1995,0.17724,1
70.2995,0.177479,2017
70.3995,0.177765,1
70.4995,0.178051,2017
70.5995,0.178385,1
70.6995,0.178576,2017
70.7995,0.178814,2017
70.8995,0.179005,1
70.9995,0.179195,1
71.0995,0.179529,1
71.1995,0.179815,1
71.2995,0.180054,1
71.3995,0.18034,1
71.4995,0.180483,1
71.5995,0.180626,2017
71.6995,0.18096,2017
71.7995,0.181198,1
71.8995,0.181437,1
71.9995,0.181675,1
72.0995,0.181913,1
72.1995,0.182199,1
72.2995,0.182486,1
72.3995,0.182724,1
72.4995,0.182962,1
72.5995,0.183249,1
72.6995,0.183487,1
72.7995,0.183678,1
72.8995,0.183964,1
72.9995,0.18425,1
73.0995,0.184298,1
73.1995,0.184631,2017
73.2995,0.184917,1
73.3995,0.185299,1
73.4995,0.18549,2017
73.5994,0.185728,1
73.6994,0.185966,1
73.7994,0.18611,1
73.8994,0.186396,1
73.9994,0.186682,1
74.0994,0.186872,1
74.1994,0.187206,1
74.2994,0.18754,1
74.3994,0.187778,1
74.4994,0.188017,1
74.5994,0.188303,1
74.6994,0.188589,2017
74.7994,0.188828,2017
74.8994,0.189161,1
74.9994,0.189495,2017
75.0994,0.189781,1
75.1994,0.190163,1
75.2994,0.190496,1
75.3994,0.190687,1
75.4994,0.190926,1
75.5994,0.191212,1
75.6994,0.191498,1
75.7994,0.191832,1
75.8994,0.19207,1
75.9994,0.192261,2017
76.0994,0.192595,1
76.1994,0.192833,1
76.2994,0.193119,1
76.3994,0.193405,1
76.4994,0.193644,2017
76.5994,0.19393,1
76.6994,0.194168,1
76.7994,0.194502,2017
76.8994,0.194788,2017
76.9994,0.195074,1
77.0994,0.195312,1
77.1994,0.195599,1
77.2994,0.195932,1
77.3994,0.196266,1
77.4994,0.196552,1
77.5994,0.196934,1
77.6994,0.19722,1
77.7994,0.197458,1
77.8994,0.197649,1
77.9994,0.19803,1
78.0994,0.198317,1
78.1994,0.198603,1
78.2994,0.198889,1
78.3994,0.199127,1
78.4994,0.199413,1
78.5994,0.199699,1
78.6994,0.200033,2017
78.7994,0.200224,1
78.8994,0.200462,1
78.9994,0.200653,1
79.0994,0.200891,1
79.1994,0.201225,1
79.2994,0.201464,1
79.3994,0.201702,1
79.4994,0.202084,1
